#Run	Event
206368	1064090
206368	1590574
206368	1697408
206368	18268109
206368	18608436
206368	18632253
206368	18699020
206368	18756376
206368	18791681
206368	19504543
206368	19912595
206368	20045474
206368	20137918
206368	20240544
206368	20265083
206368	20455852
206368	20918089
206368	21423848
206368	21500589
206368	21924988
206368	22178827
206368	22205022
206368	22281499
206368	22983119
206368	23168821
206368	23561929
206368	23680468
206368	23845021
206368	24059242
206368	24233143
206368	24235297
206368	24338245
206368	24443940
206368	24678817
206368	24811785
206368	25815502
206368	25941464
206368	26077578
206368	26134904
206368	26540937
206368	26640189
206368	26994617
206368	27069657
206368	27488937
206368	27659545
206368	28648422
206368	28821045
206368	28870783
206368	28994458
206368	29138317
206368	29140617
206368	29506731
206368	29741652
206368	30428647
206368	30634404
206368	30952066
206368	31118585
206368	31227339
206368	31576873
206368	31583402
206368	31807045
206368	31866434
206368	32152349
206368	32265119
206368	32527908
206368	32773299
206368	32864357
206368	33206908
206368	33352566
206368	33665684
206368	33788128
206368	33917946
206368	34166196
206368	34244815
206368	34371924
206368	34615054
206368	35043006
206368	35208366
206368	35712674
206368	35785687
206368	35808030
206368	35820102
206368	35923087
206368	36019409
206368	36211458
206368	36290794
206368	36488599
206368	36529291
206368	36591986
206368	36835946
206368	36929794
206368	36944606
206368	37276305
206368	37304416
206368	37323949
206368	37344003
206368	37772302
206368	37884808
206368	38268105
206368	38737113
206368	38964209
206368	39035619
206368	39415910
206368	39803522
206368	39866295
206368	39988610
206368	40234779
206368	40458854
206368	40568274
206368	41103052
206368	41221661
206368	41303846
206368	41444336
206368	42164340
206368	42312392
206368	42820263
206368	43353329
206368	43498291
206368	43731695
206368	43878508
206368	44187047
206368	44328459
206368	44462639
206368	44786440
206368	44970576
206368	45327017
206368	45593597
206368	45725778
206368	45772280
206368	46435170
206368	46645821
206368	46797373
206368	46991563
206368	47443548
206368	47793577
206368	48575795
206368	49609684
206368	49862086
206368	49977960
206368	50017458
206368	50421814
206368	50434657
206368	50486458
206368	50603260
206368	50764326
206368	51491848
206368	51524385
206368	51677427
206368	51960005
206368	52284523
206368	52392670
206368	52728340
206368	53745942
206368	53830852
206368	53940771
206368	54004331
206368	54217901
206368	54337438
206368	54541711
206368	54921468
206368	55117888
206368	55217213
206368	55231204
206368	55631999
206368	55638988
206368	55756959
206368	55943019
206368	56032364
206368	56068290
206368	56801521
206368	58085643
206368	58148226
206368	58316309
206368	58708654
206368	60037625
206368	60219228
206368	60306283
206368	60340919
206368	60480371
206368	60509539
206368	60544295
206368	60615753
206368	60627045
206368	60860967
206368	61032419
206368	61079571
206368	61481925
206368	61531677
206368	61835077
206368	61998723
206368	62140214
206368	62202124
206368	62793452
206368	62841464
206368	63048121
206368	63052981
206368	63074110
206368	63241275
206368	63476458
206368	64541176
206368	64588973
206368	65002694
206368	65015264
206368	65206556
206368	65640482
206368	65879098
206368	66160700
206368	66209142
206368	66519311
206368	66546794
206368	66766643
206368	66903293
206368	67300439
206368	67422922
206368	67455343
206368	67556776
206368	67727673
206368	68342880
206368	68456030
206368	68898191
206368	69044758
206368	69472597
206368	69865343
206368	70085440
206368	70386407
206368	70439824
206368	70594251
206368	70613234
206368	71370462
206368	71625683
206368	71741834
206368	72092465
206368	72166263
206368	72809825
206368	73054734
206368	73073266
206368	73126340
206497	359067
206497	495153
206497	541188
206497	705906
