#Run	Event
204416	201675
204416	232302
204416	334775
204416	684610
204416	1036007
204416	1347977
204416	2152247
204416	2250635
204416	2476162
204416	2642889
204416	2668588
204416	2746750
204416	2981754
204416	2993576
204416	3123689
204416	3593027
204416	3687668
204416	3693368
204416	3704646
204416	3783126
204416	4256578
204416	4333854
204416	4397144
204416	4448846
204416	4585149
204416	4688371
204416	4716490
204416	4846922
204416	5045400
204416	5736770
204416	5818242
204416	5844375
204416	5901818
204416	5950441
204416	5953709
204416	6024233
204416	6124007
204416	6226076
204416	6374098
204416	6558076
204416	6619125
204416	6662920
204416	6722857
204416	6737514
204416	6737925
204416	6765754
204416	6844462
204416	6968987
204416	7030640
204416	7125996
204416	7203080
204416	7347637
204416	7563131
204416	7656201
204416	7984596
204416	8159028
204416	8324228
204416	8332198
204416	8488873
204416	8688832
204416	8697117
204416	8784521
204416	8853664
204416	9365537
204416	9510900
204416	9676967
204416	9690630
204416	10095756
204416	10308780
204416	10468995
204416	10669809
204416	10861530
204416	10902901
204416	11506352
204416	11835480
204416	11981785
204416	12084098
204416	12212959
204416	12295071
204416	12516096
204416	12657923
204416	12918505
204416	12974151
204416	13347736
204416	13352152
204416	13529874
204416	13532122
204416	13608208
204416	13981150
204416	14027574
204416	14029865
204416	14065396
204416	14285443
204416	14673726
204416	14690169
204416	14721221
204416	14782600
204416	14824346
204416	15064457
204416	15070156
204416	15280623
204416	15558817
204416	15711383
204416	15851769
204416	15906911
204416	15977155
204416	16112317
204416	16514987
204416	16685995
204416	16702305
204416	16875336
204416	17099144
204416	17147729
204416	17252925
204416	17287698
204416	17475786
204416	17904016
204416	18006843
204416	18047205
204416	18155337
204416	18276478
204416	18550189
204416	18604924
204416	18614147
204416	18626266
204416	19228845
204416	19235240
204416	19284167
204416	19303537
204416	19581532
204416	19692025
204416	19721892
204416	19948445
204416	19968855
204416	20133253
204416	20143615
204416	20164933
204416	20538699
204416	20581239
204416	21252923
204416	21263391
204416	21648806
204416	21839684
204416	21995320
204416	22053211
204416	22069538
204416	22383116
204416	22443767
204416	22445861
204416	22496907
204416	22657984
204416	22846695
204416	22882817
204416	22943238
204416	23007188
204416	23112958
204416	23454793
204416	23474994
204416	23494503
204416	23864954
204416	23942809
204416	24011920
204416	24067050
204416	24449798
204416	24502450
204416	24737322
204416	24874711
204416	25188012
204416	25195099
204416	25195204
204416	25341527
204416	25383171
204416	25503887
204416	25726623
204416	25728886
204416	25865595
204416	25872136
204416	25873987
204416	26100697
204416	26113874
204416	26290043
204416	26435319
204416	26581032
204416	26804080
204416	26953615
204416	27181444
204416	27580552
204416	27660668
204416	27803683
204416	27839265
204416	28169108
204416	28355794
204416	28428768
204416	28449790
204416	28497159
204416	28923228
204416	29113492
204416	29125929
204416	29915075
204416	29956314
204416	30035024
204416	30036053
204416	30130776
204416	30346044
204416	30415520
204416	30579526
204416	30692491
204416	30788650
204416	30820450
204416	30948301
204416	30970949
204416	31018658
204416	31283216
204416	31289205
204416	31377528
204416	31490881
204416	31699126
204416	31909998
204416	32177707
204416	32486549
204416	32632636
204416	32756091
204416	32912517
204416	32954737
204416	32982262
204416	33199561
204416	33461741
204416	33528881
204416	33602164
204416	33630637
204416	33660661
204416	33679415
204416	33814235
204416	33924441
204416	33933574
204416	34078026
204416	34091361
204416	34136432
204416	34208749
204416	34307854
204416	34485972
204416	34667188
204416	34712268
204416	34818431
204416	34820116
204416	34949523
204416	35427665
204416	35468487
204416	35546234
204416	35592407
204416	35632278
204416	35785090
204416	35818657
204416	35822024
204416	35912826
204416	35944591
204416	35955215
204416	36041775
204416	36289557
204416	36353473
204416	36549865
204416	36654415
204416	36699807
204416	36720090
204416	36802223
204416	36867034
204416	36906026
204416	36932778
204416	37203795
204416	37310549
204416	37587559
204416	37690531
204416	37759700
204416	37835236
204416	37959502
204416	37966194
204416	38062433
204416	38074924
204416	38152379
204416	38171033
204416	38187384
204416	38190068
204416	38371605
204416	38688669
204416	38730888
204416	38766900
204416	38782396
204416	38801516
204416	38958444
204416	39317918
204416	39864879
204416	40206635
204416	40259053
204416	40415915
204416	40474291
204416	40537270
204416	40544522
204416	41179835
204416	41447693
204416	41519336
204416	41564407
204416	41680982
204416	42015091
204416	42036320
204416	42100151
204416	42363034
204416	42426271
204416	42545544
204416	42670192
204416	42835645
204416	43333168
204416	43339057
204416	43410346
204416	43423454
204416	43485980
204416	43597077
204416	43630951
204416	43651783
204416	43746265
204416	44225942
204416	44320873
204416	44461703
204416	44532481
204416	44532876
204416	44762723
204416	44847161
204416	44978681
204416	44979904
204416	45168494
204416	45183593
204416	45282883
204416	45463773
204416	45564925
204416	46037971
204416	46043294
204416	46332215
204416	46359280
204416	46419082
204416	46438689
204416	46964450
204416	47427410
204416	47568633
204416	47662037
204416	47687038
204416	48202595
204416	48326228
204416	48338870
204416	48352618
204416	48421541
204416	48473462
204416	48737167
204416	48860873
204416	49198796
204416	49422727
204416	49445835
204416	49562182
204416	49572369
204416	49626534
204416	49857573
204416	49954532
204416	49973265
204416	50354518
204416	50406202
204416	50507268
204416	50759462
204416	50764863
204416	51040437
204416	51113834
204416	51227420
204416	51241832
204416	51421777
204416	51455934
204416	51685905
204416	52030301
204416	52047322
204416	52202407
204416	52314789
204416	52461737
204416	52549363
204416	52611888
204416	52701080
204416	53142518
204416	53191716
204416	53210950
204416	53235216
204416	53311244
204416	53331734
204416	53399139
204416	53550132
204416	53620333
204416	53857199
204416	54052995
204416	54084817
204416	54088821
204416	54193139
204416	54486818
204416	54558421
204416	54651494
204416	55148468
204416	55190403
204416	55250612
204416	55539476
204416	55540604
204416	55601513
204416	56123003
204416	56249292
204416	56539466
204416	56621166
204416	56675975
204416	56714823
204416	56737429
204416	56761223
204416	56975392
204416	57056480
204416	57065886
204416	57269556
204416	57489619
204416	57833362
204416	57888032
204416	57924225
204416	57980554
204416	58086725
204416	58185286
204416	58295919
204416	58385728
204416	58425533
204416	58550473
204416	58586030
204416	58588552
204416	59013470
204416	59020656
204416	59144147
204416	59167551
204416	59216259
204416	59246372
204416	59313989
204416	59988778
204416	60092330
204416	60130556
204416	60232020
204416	60321177
204416	60695457
204416	60699217
204416	61175383
204416	61277273
204416	61729158
204416	61798860
204416	61885605
204416	61899422
204416	61974682
204416	62110150
204416	62358140
204416	62378616
204416	62389649
204416	62533065
204416	62963652
204416	63099454
204416	63102630
204416	63355528
204416	63449699
204416	63456964
204416	63582984
204416	63794879
204416	64018748
204416	64021550
204416	64025839
204416	64220745
204416	64743704
204416	64864784
204416	64951953
204416	64990810
204416	65341962
204416	65469166
204416	65943071
204416	65946063
204416	66023910
204416	66024418
204416	66169054
204416	66330523
204416	66446208
204416	66618486
204416	66643788
204416	66906098
204416	67004684
204416	67097272
204416	67359716
204416	67519719
204416	67609190
204416	67655695
204416	67694219
204416	67712448
204416	67824691
204416	67887093
204416	68232180
204416	68404002
204416	68559230
204416	68609044
