#Run	Event
200965	1350520
200965	1926202
200965	2097663
200965	5476070
200965	7498166
200967	3389372
200967	3476101
200967	3827979
200967	4130900
200967	4215827
200967	4387309
200967	4481184
200967	5361750
200967	5931081
200967	6023674
200967	6683968
200967	8224637
200967	8551616
200967	9269552
200967	9615787
200967	10290356
200967	10631941
200967	11166937
200967	11181028
200967	11450937
200967	11653132
200967	12037636
200967	13196204
200967	13221043
200967	13541364
200967	13755843
200967	13878460
200967	14091559
200967	14125164
200967	14414998
200967	14870439
200967	15012795
200967	15155940
200967	16447254
200967	16519655
200967	16593440
200967	17620136
200967	17770457
200967	17781224
200967	17903596
200967	17922429
200967	17948596
200967	18752190
200967	19902622
200967	20419718
200967	20573538
200967	20768468
200967	20829432
200967	20994144
200967	21066732
200967	21899471
200967	23152462
200967	23527705
200967	23773495
200967	26751518
200967	27204943
200967	35032568
200967	35423092
200967	35575124
200967	36091465
200967	37630375
200967	39035423
200967	40780195
200967	40962335
200967	46137907
200967	46199879
200967	46471947
200967	47351471
200967	47395444
200967	48152413
200967	49346551
200967	50012102
200967	50257360
200967	50379132
200967	50526330
200967	51456266
200967	51739478
200967	51746304
200967	52250836
200967	52856181
200967	53038715
200967	53761736
200967	53902893
200967	54210721
200967	54397689
200967	54921700
200967	54947259
200967	56439513
200967	56464551
200967	56910467
200967	57130587
200967	57562839
200967	57861082
200967	59371963
200967	60248849
200967	60424218
200967	60656151
200967	61447005
200967	61653489
200967	61856325
200967	61954453
200967	62439286
200967	63554345
200967	65139871
200967	65164141
200967	65602918
200967	65684093
200967	65786098
200967	66553945
200967	67357157
200967	67390836
200967	67425566
200967	67451462
200967	68621524
200967	70095687
200967	70232110
200967	70290317
200967	71887884
200967	72573500
200967	73440348
200967	73930959
200967	74804363
200967	75389292
200967	76043837
200967	76382568
200967	76496822
200967	76724987
200967	77424824
200967	77428155
200967	77735493
200967	78243886
200967	78429689
200842	23801153
201489	189047
201489	342503
201489	396241
201489	724954
201489	842653
201489	915166
201489	917140
201489	1073962
201489	1177167
201489	1264103
201489	1391894
201489	1793513
201489	1966034
201489	2149794
201489	2380404
201489	2410786
201489	2449435
201489	2512036
201489	2680145
201489	2683067
201489	2746739
201489	2797708
201489	2888266
201489	2968469
201489	3083134
201489	3122943
201489	3554400
201489	4037707
201489	4066965
201489	4287687
201489	4584282
201489	4817002
201489	5018941
201489	5031382
201489	5095007
201489	5381145
201489	5441262
201489	5463076
201489	5512669
201489	5670575
201489	5769811
201489	5905365
201489	6057676
201489	6118354
201489	6230121
201489	6334815
201489	6488784
201489	6705713
201489	6945304
201489	6974731
201489	7005053
201489	7101163
201489	7109881
201489	7219051
201489	7543614
201489	7560393
201489	7661545
201489	8220705
201489	8257101
201489	8335768
201489	8367575
201489	8393495
201489	8458913
201489	8563394
201489	8655493
201489	8995641
201489	9024455
201489	9151682
201489	9155616
201489	9265481
201489	9512622
201489	9736250
201489	9959722
201489	10032618
201489	10079603
201489	10158573
201489	10355953
201489	10367597
201489	10505033
201489	10522327
201489	10746526
201489	10878717
201489	11167835
201489	11355383
201489	11638400
201489	11642520
201489	11746763
201489	11914217
201489	12076090
201489	12177171
201489	12294264
201489	12483478
201489	12505685
201489	12789711
201489	12845030
201489	12945331
201489	13119542
201489	13297613
201489	13444999
201489	13734956
201489	13781596
201489	13808369
201489	13920725
201489	14343585
201489	14349135
201489	14351596
201489	14600471
201489	14688672
201489	14800531
201489	15259559
201489	15378364
201489	15590994
201489	15615423
201489	15782825
201489	15819061
201489	16107062
201489	16233654
201489	16690729
201489	16703714
201489	16813914
201489	16894835
201489	17009317
201489	17049344
201489	17134853
201489	17190647
201489	17357647
201489	17638535
201489	17797494
201489	18107185
201489	18445658
201489	18455839
201489	18464513
201489	18568182
201489	18622805
201489	19096070
201489	19110708
201489	19141272
201489	19228745
201489	19280314
201489	19330880
201489	19935401
201489	19975796
201489	20059296
201489	20139969
201489	20141463
201489	20437455
201489	20512057
201489	20548056
201489	20575930
201489	20581685
201489	20675055
201489	20685657
201489	20707874
201489	20757664
201489	20990689
201489	21429449
201489	21429503
201489	21646196
201489	21803020
201489	21835801
201489	22183139
201489	22334934
201489	22339425
201489	22382993
201489	22545191
201489	22576209
201489	22713586
201489	23630276
201489	23652758
201489	23731562
201489	23916130
201489	24324110
201489	24404604
201489	24626861
201489	24784445
201489	25186641
201489	25206063
201489	25400555
201489	25402110
201489	25633258
201489	25664256
201489	25891247
201489	26033660
201489	26224635
201489	26679087
201489	26697986
201489	26706493
201489	26762668
201489	26907208
201489	26988548
201489	27018319
201489	27112243
201489	27438021
201489	27458237
201489	27649196
201489	27940628
201489	28065595
201489	28396317
201489	28570498
201489	28576265
201489	28631742
201489	28654729
201489	28896067
201489	29014976
201489	29325347
201489	29367689
201489	29430845
201489	29682002
201489	29714942
201489	29889391
201489	30167461
201489	30186851
201489	30620434
201489	31070418
201489	31525791
201489	31567181
201489	31592679
201489	31934243
201489	31988086
201489	32299692
201489	32349100
201489	32436130
201489	32445029
201489	32551498
201489	32648291
201489	32780633
201489	32836063
201489	33363771
201489	33364250
201489	33417723
201489	33521608
201489	33527806
201489	33531221
201489	33823555
201489	33915848
201489	34207303
201489	34220155
201489	34223646
201489	34226535
201489	34900055
201489	35249977
201489	35357096
201489	35413851
201489	35438847
201489	35586549
201489	35747617
201489	35846967
201489	36015259
201489	36179204
201489	36298895
201489	36861718
201489	36918517
201489	36921461
201489	37010037
201489	37134707
201489	37296378
201489	37327261
201489	37382976
201489	37537259
201489	37640044
201489	37808823
201489	37853311
201489	38071811
201489	38319434
201489	38419424
201489	38549712
201489	38649320
201489	39155413
201489	39268308
201489	39272153
201489	39428848
201489	39580619
201489	39776958
201489	39874051
201489	40142084
201489	40465478
201489	40683628
201489	40725976
201489	40780791
201489	41321324
201489	42076545
201489	42368787
201489	42403478
201489	42462856
201489	42505182
201489	43256089
201489	43260986
201489	43266349
201489	43299170
201489	43382243
201489	43438951
201489	43589855
201489	44489180
201489	44657795
201489	45122289
201489	45151171
201489	45226497
201489	45879687
201489	45986052
201489	46230616
201489	46302493
201489	46328610
201489	46400443
201489	46453360
201489	46590682
201489	47212577
201489	47377679
201489	47877646
201489	47966854
201489	47970447
201489	47982374
201489	47990985
201489	48054300
201489	48332389
201489	48369020
201489	48742136
201489	49019079
201489	49185131
201489	49187916
201489	49336082
201489	49349787
201489	49944674
201489	49958763
201489	49990827
201489	50229646
201489	50244042
201489	50432469
201489	51309752
201489	51391909
201489	51549789
201489	51779399
201489	52028692
201489	52108218
201489	52164623
201489	52208722
201489	52863604
201489	53004141
201489	53077451
201489	53324540
