#Run	Event
212000	81674604
212000	81684583
212000	81922648
212000	81947266
212000	82010024
212000	82029815
212000	82052268
212000	82118285
212000	82296440
212000	82304555
212000	82434107
212000	82549218
212000	82551526
212000	82871853
212000	82880256
212000	83465464
212000	83562639
212000	83754872
212000	83899609
212000	84081863
211937	78338809
211937	78395852
211937	78634130
211937	78657184
211937	78895029
211937	79031289
211937	79049243
211937	79055146
211937	79153830
211937	79271081
211937	79380029
211937	79672553
211937	79753302
211937	80021105
211937	80149398
211937	80156597
211937	80221784
211937	80299941
211937	80340601
211937	80761730
211937	80846317
211937	81030031
211937	81052849
211937	81087494
211937	81212344
211937	81585010
211937	81745041
211937	81754375
211937	82235429
211937	82735514
211937	83233012
211937	83379697
211937	83586193
211937	83645218
211937	83670670
211937	83945574
211937	83966522
211937	84091727
211937	84309821
211937	84721612
211937	84781229
211937	84803992
211937	84826488
211937	84833966
211937	84897894
211937	85056197
211937	85139595
211937	85161112
211937	85309150
211937	85399266
211937	85483177
211937	85626952
211937	85628160
211937	85643970
211937	85781762
211937	85856190
211937	86305745
211937	86625347
211937	86844297
211937	86857198
211937	87583496
211937	87885524
211937	88059222
211937	88240999
211937	88471998
211937	88488808
211937	88533139
211937	88734555
211937	88789232
211937	88834929
211937	88894784
211937	89332279
211937	89365730
211937	89492498
211937	89546989
211937	89683930
211937	89764056
211937	89783181
211937	89783901
211937	89795568
211937	89799497
211937	89819340
211937	89831612
211937	89969299
211937	90196530
211937	90225108
211937	90413158
211937	90505321
211937	90673717
211937	90689819
211937	90717824
211937	90740273
211937	90879616
211937	91435703
211937	91586695
211937	91891628
211937	92246084
211937	92351325
211937	92444931
211937	92451089
211937	92500801
211937	92547862
211937	92610341
211937	92910288
211937	93213749
211937	93260633
211937	93318779
211937	93367105
211937	93462767
211937	93555338
211937	93648558
211937	93938524
211937	93951612
211937	94182591
211937	94691552
211937	94884322
211937	94944427
211937	94962357
211937	95179422
211937	95678531
211937	95679204
211937	95794664
211937	95811664
211937	95823053
211937	95886004
211937	95986750
211937	96021777
211937	96077254
211937	96341698
211937	96490363
211937	96556033
211937	96598672
